Product Name,Price,Customer ratings,Category,Sales rank,Product brand,img_path
Skyline 32-22A - 32-inch HD LED TV - Limited,"EGP 4,799.00",3.8,Televisions,1,Skyline,imgs\Skyline 32-22A - 32-inch HD LED TV - Limited.jpg
ATA ATA 32HON - 32-inch HD TV,"EGP 4,749.00",4.1,Televisions,2,ATA,imgs\ATA ATA 32HON - 32-inch HD TV.jpg
Samsung 50-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023),"EGP 18,710.04",4.3,Televisions,3,Samsung,imgs\Samsung 50-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023).jpg
Samsung 55-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023),"EGP 22,999.00",4.3,Televisions,4,Samsung,imgs\Samsung 55-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023).jpg
ATA 43FON - 43-inch Full HD TV,"EGP 7,749.00",3.9,Televisions,5,ATA,imgs\ATA 43FON - 43-inch Full HD TV.jpg
Samsung 55-Inch CU8000 Crystal UHD- 4K - Smart TV - Dynamic Crystal Colors (2023),"EGP 24,499.00",4.4,Televisions,6,Samsung,imgs\Samsung 55-Inch CU8000 Crystal UHD- 4K - Smart TV - Dynamic Crystal Colors (2023).jpg
Armadillo ARM32VA1N - 32 inch -Frameless HD LED TV - Black,"EGP 4,849.00",4,Televisions,7,Armadillo,imgs\Armadillo ARM32VA1N - 32 inch -Frameless HD LED TV - Black.jpg
ATA 43FOS - 43-inch Full HD Smart TV,"EGP 8,699.00",4.2,Televisions,8,ATA,imgs\ATA 43FOS - 43-inch Full HD Smart TV.jpg
Samsung UA40T5300 40 Inch Full HD Smart TV With Built-In Receiver - Black,"EGP 13,030.20",4.2,Televisions,9,Samsung,imgs\Samsung UA40T5300 40 Inch Full HD Smart TV With Built-In Receiver - Black.jpg
Sony KDL-32R300E - 32inch HD LED TV,"EGP 6,799.00",3,Televisions,10,Sony,imgs\Sony KDL-32R300E - 32inch HD LED TV.jpg
Skyline 43SF01 43 Inch FHD - Smart Frameless LED - TV Black,"EGP 9,699.00",3.9,Televisions,11,Skyline,imgs\Skyline 43SF01 43 Inch FHD - Smart Frameless LED - TV Black.jpg
Skyline 32-22S – 32-inch HD LED Smart TV,"EGP 5,890.00",4.4,Televisions,12,Skyline,imgs\Skyline 32-22S – 32-inch HD LED Smart TV.jpg
ATA ATA55U0S- 55-inch 4K Smart TV,"EGP 15,250.00",4,Televisions,13,ATA,imgs\ATA ATA55U0S- 55-inch 4K Smart TV.jpg
Tornado FHD Built-in Receiver TV - 43 Inch - Black 43EC3300E - Black,"EGP 10,499.00",N/A,Televisions,14,Tornado,imgs\Tornado FHD Built-in Receiver TV - 43 Inch - Black 43EC3300E - Black.jpg
Samsung 75-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023),"EGP 35,999.00",4.2,Televisions,15,Samsung,imgs\Samsung 75-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023).jpg
"Samsung 50"" DU7000 Crystal UHD 4K TV","EGP 19,999.00",N/A,Televisions,16,Samsung,imgs\Samsung 50 DU7000 Crystal UHD 4K TV.jpg
"Samsung 55"" DU8000 Crystal UHD 4K TV","EGP 24,999.00",N/A,Televisions,17,Samsung,imgs\Samsung 55 DU8000 Crystal UHD 4K TV.jpg
"Samsung 65"" DU7000 Crystal UHD 4K TV","EGP 27,999.00",N/A,Televisions,18,Samsung,imgs\Samsung 65 DU7000 Crystal UHD 4K TV.jpg
"Samsung 55"" DU7000 Crystal UHD 4K TV","EGP 22,999.00",N/A,Televisions,19,Samsung,imgs\Samsung 55 DU7000 Crystal UHD 4K TV.jpg
Tornado 43ES9300E-A - 43inch FHD Sheild Smart TV With Built-In Receiver,"EGP 11,299.00",5,Televisions,20,Tornado,imgs\Tornado 43ES9300E-A - 43inch FHD Sheild Smart TV With Built-In Receiver.jpg
ATA 32 HOS-inch HD LED Smart TV,"EGP 5,199.00",4.3,Televisions,21,ATA,imgs\ATA 32 HOS-inch HD LED Smart TV.jpg
Sharp HD Frameless TV 32 Inch Google TV Built-In Receiver 2T-C32FG6EX,"EGP 7,619.00",4,Televisions,22,Sharp,imgs\Sharp HD Frameless TV 32 Inch Google TV Built-In Receiver 2T-C32FG6EX.jpg
"Pluto 65-inch LED TV, 4K,Frameless, Smart, Android-65FLS","EGP 18,250.00",4.4,Televisions,23,Pluto,"imgs\Pluto 65-inch LED TV, 4K,Frameless, Smart, Android-65FLS.jpg"
Pluto 32 Inch LED TV - Built - In Receiver,"EGP 5,490.00",4.3,Televisions,24,Pluto,imgs\Pluto 32 Inch LED TV - Built - In Receiver.jpg
Samsung 65-Inch CU8000 Crystal UHD- 4K - Smart TV - Dynamic Crystal Colors (2023),"EGP 28,999.00",4.3,Televisions,25,Samsung,imgs\Samsung 65-Inch CU8000 Crystal UHD- 4K - Smart TV - Dynamic Crystal Colors (2023).jpg
"Pluto 43"" Inch Smart Led TV - Built-in Receiver -43FLS","EGP 9,990.00",4.6,Televisions,26,Pluto,imgs\Pluto 43 Inch Smart Led TV - Built-in Receiver -43FLS.jpg
Pluto 50-inch LED TV - 4K - Frameless - Smart - Android 11-50FLS,"EGP 12,990.00",4.4,Televisions,27,Pluto,imgs\Pluto 50-inch LED TV - 4K - Frameless - Smart - Android 11-50FLS.jpg
Sony KDL-32W600D HD Smart LED TV with WiFi Connection - 32 Inch,"EGP 7,699.00",4,Televisions,28,Sony,imgs\Sony KDL-32W600D HD Smart LED TV with WiFi Connection - 32 Inch.jpg
LG 55UQ75006LG UQ7500 Series,"EGP 20,499.00",4,Televisions,29,LG,imgs\LG 55UQ75006LG UQ7500 Series.jpg
Samsung 58-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023),"EGP 19,999.00",5,Televisions,30,Samsung,imgs\Samsung 58-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023).jpg
"Pluto 55-inch Smart LED TV, 4K, Built-in Receiver-55FLS","EGP 14,990.00",1,Televisions,31,Pluto,"imgs\Pluto 55-inch Smart LED TV, 4K, Built-in Receiver-55FLS.jpg"
Katron 32 Inch HD Android Smart LED TV.,"EGP 5,859.00",3.5,Televisions,32,Katron,imgs\Katron 32 Inch HD Android Smart LED TV..jpg
Fresh 32LH622 TV - 32 Inch HD LED Frameless,"EGP 5,799.00",5,Televisions,33,Fresh,imgs\Fresh 32LH622 TV - 32 Inch HD LED Frameless.jpg
Samsung 32T5300AUXEG - 32 Inch HD Smart LED TV With Built-in Receiver,"EGP 8,649.00",4.4,Televisions,34,Samsung,imgs\Samsung 32T5300AUXEG - 32 Inch HD Smart LED TV With Built-in Receiver.jpg
"Grouhy GLD43NA - 43"" Inch  LED Full HD TV","EGP 8,299.00",3.3,Televisions,35,Grouhy,imgs\Grouhy GLD43NA - 43 Inch  LED Full HD TV.jpg
Fresh TV 42-inch Full HD Smart Android - 42MF435,"EGP 10,333.00",N/A,Televisions,36,Fresh,imgs\Fresh TV 42-inch Full HD Smart Android - 42MF435.jpg
LG 32LM550BPVA 32 Inch HD LED TV Built-in Receiver,"EGP 8,499.00",5,Televisions,37,LG,imgs\LG 32LM550BPVA 32 Inch HD LED TV Built-in Receiver.jpg
LG 43LM6370PVA 43 Inch FHD Smart LED TV With Built-in Receiver,"EGP 14,399.00",5,Televisions,38,LG,imgs\LG 43LM6370PVA 43 Inch FHD Smart LED TV With Built-in Receiver.jpg
Samsung 43 Inch Smart Full HD TV With Built-In Receiver - UA43T5300,"EGP 13,595.00",4.3,Televisions,39,Samsung,imgs\Samsung 43 Inch Smart Full HD TV With Built-In Receiver - UA43T5300.jpg
Grouhy GROUHY-55-Inch-LED-TV-Smart 4K Magic Remote- GLD55SA.MGC,"EGP 15,369.00",5,Televisions,40,Grouhy,imgs\Grouhy GROUHY-55-Inch-LED-TV-Smart 4K Magic Remote- GLD55SA.MGC.jpg
Armadillo ARM43T1N - 43 Inch Normal TV - FHD - Black,"EGP 9,599.00",4.2,Televisions,41,Armadillo,imgs\Armadillo ARM43T1N - 43 Inch Normal TV - FHD - Black.jpg
Jac 32-inch HD LED  Smart TV -  Black,"EGP 7,200.00",4.2,Televisions,42,Jac,imgs\Jac 32-inch HD LED  Smart TV -  Black.jpg
Samsung 50CU8000 4K UHD Smart LED TV With Built-in Receiver - 50 Inch,"EGP 21,999.00",4.7,Televisions,43,Samsung,imgs\Samsung 50CU8000 4K UHD Smart LED TV With Built-in Receiver - 50 Inch.jpg
RT Home RT-32A LED TV 32 INCH HD ICast Frameless,"EGP 5,576.00",4.6,Televisions,44,Unknown,imgs\RT Home RT-32A LED TV 32 INCH HD ICast Frameless.jpg
Jac 32-inch HD LED Monitor - Black,"EGP 6,200.00",3.9,Televisions,45,Jac,imgs\Jac 32-inch HD LED Monitor - Black.jpg
"Samsung 65"" Q70C QLED 4K HDR Smart TV - 2023","EGP 41,999.00",4.3,Televisions,46,Samsung,imgs\Samsung 65 Q70C QLED 4K HDR Smart TV - 2023.jpg
"Samsung 50"" Q60C QLED 4K HDR Smart TV - 2023","EGP 23,499.00",4.9,Televisions,47,Samsung,imgs\Samsung 50 Q60C QLED 4K HDR Smart TV - 2023.jpg
"Tornado 43"" LED FHD Smart Built In Receiver Shield (43ES9300E-A)","EGP 12,370.00",5,Televisions,48,Tornado,imgs\Tornado 43 LED FHD Smart Built In Receiver Shield (43ES9300E-A).jpg
Samsung UA65CU7000 – 65-inch UHD 4K Smart TV With Built In Receiver,"EGP 26,990.00",4.1,Televisions,49,Samsung,imgs\Samsung UA65CU7000 – 65-inch UHD 4K Smart TV With Built In Receiver.jpg
"Samsung 65"" Q60C QLED 4K HDR Smart TV - 2023","EGP 33,499.00",4.5,Televisions,50,Samsung,imgs\Samsung 65 Q60C QLED 4K HDR Smart TV - 2023.jpg
"LG OLED TV, 65 inch A3 series, WebOS Smart AI ThinQ, Magic Remote, 4 side Cinema, Dolby Vision HDR10, HLG, AI Picture Pro, AI Sound Pro (5.1.2ch), Dolby Atmos, 2 Pole stand, OLED65A36LA.AFU","EGP 75,399.00",N/A,Televisions,51,LG,"imgs\LG OLED TV, 65 inch A3 series, WebOS Smart AI ThinQ, Magic Remote, 4 side Cinema, Dolby Vision HDR10, HLG, AI Picture Pro, AI Sound Pro (5.1.2ch), Dolby Atmos, 2 Pole stand, OLED65A36LA.AFU.jpg"
Samsung UA43T5300 - 43-inch Full HD Smart TV With Built-In Receiver,"EGP 14,480.00",N/A,Televisions,52,Samsung,imgs\Samsung UA43T5300 - 43-inch Full HD Smart TV With Built-In Receiver.jpg
"Tornado LED TV 32 Inch HD With Built-In Receiver, 2 HDMI And 2 USB Inputs 32ER9300E","EGP 7,999.00",N/A,Televisions,53,Tornado,"imgs\Tornado LED TV 32 Inch HD With Built-In Receiver, 2 HDMI And 2 USB Inputs 32ER9300E.jpg"
"Samsung 55"" QN700C Neo QLED 8K HDR Smart TV - 2023","EGP 74,999.00",5,Televisions,54,Samsung,imgs\Samsung 55 QN700C Neo QLED 8K HDR Smart TV - 2023.jpg
Fresh 42MF435 TV - 42 Inch FHD Smart LED Frameless,"EGP 10,888.00",N/A,Televisions,55,Fresh,imgs\Fresh 42MF435 TV - 42 Inch FHD Smart LED Frameless.jpg
"Gtv Standard 32 Inch FHD TV, GTVLD32NA, Black, LED","EGP 5,285.00",5,Televisions,56,Gtv,"imgs\Gtv Standard 32 Inch FHD TV, GTVLD32NA, Black, LED.jpg"
"Toshiba HD TV 32 Inch, Built-In Receiver 32L3965EA","EGP 8,999.00",5,Televisions,57,Toshiba,"imgs\Toshiba HD TV 32 Inch, Built-In Receiver 32L3965EA.jpg"
Unionaire Screen 32 Inches,"EGP 6,499.00",4.7,Televisions,58,Unionaire,imgs\Unionaire Screen 32 Inches.jpg
"Sony HD Smart LED TV 32 Inch, WiFi Connection KDL-32W600D","EGP 6,888.00",3.5,Televisions,59,Sony,"imgs\Sony HD Smart LED TV 32 Inch, WiFi Connection KDL-32W600D.jpg"
Samsung 55” Q80C QLED 4K HDR Smart TV - 2023,"EGP 43,499.00",5,Televisions,60,Samsung,imgs\Samsung 55” Q80C QLED 4K HDR Smart TV - 2023.jpg
Tornado LED TV 32 Inch HD With 2 HDMI And 2 USB Inputs 32EL8250E-B,"EGP 7,999.00",N/A,Televisions,61,Tornado,imgs\Tornado LED TV 32 Inch HD With 2 HDMI And 2 USB Inputs 32EL8250E-B.jpg
LG 32LM550BPVA 32 Inch HD LED TV Built-in Receiver,"EGP 8,499.00",N/A,Televisions,62,LG,imgs\LG 32LM550BPVA 32 Inch HD LED TV Built-in Receiver.jpg
"Toshiba HD BEZELLESS LED TV 32 Inch, Built-In Receiver 32S25LV","EGP 8,499.00",N/A,Televisions,63,Toshiba,"imgs\Toshiba HD BEZELLESS LED TV 32 Inch, Built-In Receiver 32S25LV.jpg"
Itel S32101BE Icast 32 Inch HD- Built-in Receiver - LED TV,"EGP 5,679.00",3.5,Televisions,64,Itel,imgs\Itel S32101BE Icast 32 Inch HD- Built-in Receiver - LED TV.jpg
Fresh 43 Inch FHD Smart LED TV With Built-in Receiver,"EGP 13,999.00",N/A,Televisions,65,Fresh,imgs\Fresh 43 Inch FHD Smart LED TV With Built-in Receiver.jpg
"Samsung 43 Inch 4K UHD Smart LED TV With Built-in Receiver And Remote Control, Black - UA43CU7000UXEG","EGP 15,990.00",4.4,Televisions,66,Samsung,"imgs\Samsung 43 Inch 4K UHD Smart LED TV With Built-in Receiver And Remote Control, Black - UA43CU7000UXEG.jpg"
Grouhy GLD32NA - 32-inch HD LED TV,"EGP 4,919.00",3.8,Televisions,67,Grouhy,imgs\Grouhy GLD32NA - 32-inch HD LED TV.jpg
"Fresh TV Screen LED 43 ""Inch Full HD1080p","EGP 12,999.00",N/A,Televisions,68,Fresh,imgs\Fresh TV Screen LED 43 Inch Full HD1080p.jpg
"Contex Standard 43 Inch FHD TV, CoN43T10NFAIA, Black, LED","EGP 8,999.00",N/A,Televisions,69,Contex,"imgs\Contex Standard 43 Inch FHD TV, CoN43T10NFAIA, Black, LED.jpg"
"Tornado 4K Smart LED TV 65 Inch, Built-in Receiver - 65US1500E - Shahid VIP Promotion","EGP 29,899.00",N/A,Televisions,70,Tornado,"imgs\Tornado 4K Smart LED TV 65 Inch, Built-in Receiver - 65US1500E - Shahid VIP Promotion.jpg"
Samsung 58 Inch 4K UHD Smart LED TV With Built In Receiver - UA58CU7000,"EGP 20,495.00",5,Televisions,71,Samsung,imgs\Samsung 58 Inch 4K UHD Smart LED TV With Built In Receiver - UA58CU7000.jpg
LG 50UQ75006 - UQ7500 Series UHD 4K Cinema Screen Design HDR WebOS Smart AI ThinQ TV - 50 Inch - New 2022,"EGP 19,399.00",5,Televisions,72,LG,imgs\LG 50UQ75006 - UQ7500 Series UHD 4K Cinema Screen Design HDR WebOS Smart AI ThinQ TV - 50 Inch - New 2022.jpg
Samsung 55 Inch 4K UHD Smart LED TV With Built In Receiver - UA55CU8000,"EGP 22,660.00",N/A,Televisions,73,Samsung,imgs\Samsung 55 Inch 4K UHD Smart LED TV With Built In Receiver - UA55CU8000.jpg
Tornado 65 Inch 4K UHD Smart Android Frameless LED TV,"EGP 29,899.00",N/A,Televisions,74,Tornado,imgs\Tornado 65 Inch 4K UHD Smart Android Frameless LED TV.jpg
"Samsung 85"" Q60C QLED 4K HDR Smart TV - 2023","EGP 70,299.00",5,Televisions,75,Samsung,imgs\Samsung 85 Q60C QLED 4K HDR Smart TV - 2023.jpg
RT Home RT-43A FHD LED TV 43 INCH ICast,"EGP 10,388.00",5,Televisions,76,Unknown,imgs\RT Home RT-43A FHD LED TV 43 INCH ICast.jpg
Samsung  50-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023),"EGP 18,200.00",N/A,Televisions,77,Samsung,imgs\Samsung  50-Inch CU7000 Crystal UHD- 4K - Smart TV - Pur Colors (2023).jpg
Samsung 65 Inch QD-OLED Smart TV 4K - Neural HDR Quantum Processor 4k With 6 Speakers - QA65S90CAUXEG [2023 Model],"EGP 91,999.00",N/A,Televisions,78,Samsung,imgs\Samsung 65 Inch QD-OLED Smart TV 4K - Neural HDR Quantum Processor 4k With 6 Speakers - QA65S90CAUXEG [2023 Model].jpg
"Samsung 55"" Q70D QLED 4K Smart TV","EGP 33,999.00",N/A,Televisions,79,Samsung,imgs\Samsung 55 Q70D QLED 4K Smart TV.jpg
LG 50 Inch Ultra HD Smart LED TV With Built In Receiver - 50UR78006LL,"EGP 18,125.00",N/A,Televisions,80,LG,imgs\LG 50 Inch Ultra HD Smart LED TV With Built In Receiver - 50UR78006LL.jpg
Samsung UA50DU7000UXEG LED - SMART 50 Inch,"EGP 20,789.00",N/A,Televisions,81,Samsung,imgs\Samsung UA50DU7000UXEG LED - SMART 50 Inch.jpg
Samsung 85-Inch CU8000 Crystal UHD- 4K - Smart TV - Dynamic Crystal Colors (2023),"EGP 54,799.00",N/A,Televisions,82,Samsung,imgs\Samsung 85-Inch CU8000 Crystal UHD- 4K - Smart TV - Dynamic Crystal Colors (2023).jpg
XIAOMI Mi Tv Box 4K,"EGP 3,839.00",N/A,Televisions,83,XIAOMI,imgs\XIAOMI Mi Tv Box 4K.jpg
Haier H43D6FM TV - 43 Inch FHD LED TV With Built-in Receiver,"EGP 10,799.00",1,Televisions,84,Haier,imgs\Haier H43D6FM TV - 43 Inch FHD LED TV With Built-in Receiver.jpg
"LG OLED TV 55 Inch CS3 Series, Cinema Screen Design, 4K Cinema HDR WebOS Smart AI ThinQ, Built in receiver with magic remote - OLED55CS3VA","EGP 69,199.00",N/A,Televisions,85,LG,"imgs\LG OLED TV 55 Inch CS3 Series, Cinema Screen Design, 4K Cinema HDR WebOS Smart AI ThinQ, Built in receiver with magic remote - OLED55CS3VA.jpg"
